servicename,link,institution
한부모가족복지시설,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766085969,대한사회복지회
싱글맘 가정지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766085968,대한사회복지회
지금은 라디오시대 후원금-사랑의 손길을 기다립니다,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766085963,(주)문화방송
삼성 저소득 소아청소년 개안수술 지원사업 'HEART FOR EYE',http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000259,삼성서울병원
삼성 얼굴기형 수술 지원사업 [밝은얼굴 찾아주기],http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000258,삼성서울병원
의료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0000502516,한국희귀난치성질환연합회
장학금 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=8&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766079305,(재)삼원장학재단
학습지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766069689,재단법인 한국백혈병어린이재단
저소득층 류마티스 질환 생물학적 제제 약제비 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766079297,한국의료지원재단
시각장애대학생 장학금 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766079309,하트하트재단
저소득층 암환자 약제비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766079303,한국의료지원재단
다톡다톡 프로젝트 상담 및 심리치료비 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912388,이주배경청소년지원재단
산림복지서비스 이용권,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766041654,한국산림복지진흥원
외래치료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766041663,한국소아암재단
수술비 및 병원치료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766041661,한국소아암재단
(부산 전지역)노인돌봄종합서비스,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000249,사회복지동행
여성용품 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=9&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765890756,세이브더칠드런
"희망사업(물품, 생계비, 교육비 지원)",http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765994534,베스티안화상후원재단
"두드림 일시·긴급지원(의료비, 주거비, 생활용품 지원 등)",http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0021772771,한국장애인재활협회
여성가장 창업자금 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765654115,한국여성경제인협회
한부모가족 주거자금 소액대출사업 '나는 가장이다',http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765881534,서울특별시한부모가족지원센터
교육비 및 재능지원 사업'두드림 스타',http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0021437965,한국장애인재활협회
개안수술비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912359,(재)아름다운 동행
상상펀드 의료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912416,KT&G복지재단
예술인 의료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912352,한국예술인복지재단
EBS 나눔0700 방송,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912413,밀알복지재단
청소년 장학금 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=11&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912375,재단법인 정이있는 장학재단
부스러기장학생,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765780703,(사)부스러기사랑나눔회
(부산 전지역) 찾아가는 맞춤형 치매예방교실 ( 뇌에 기가 팍팍),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000246,사회복지동행
(부산 전지역) 자녀의 성공을 돕는 부모코칭 ( 학부모코칭 ),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000245,사회복지동행
(진주) 근로자 통합지원서비스,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000247,사회복지동행
고속도로 사고 유자녀 장학금 지급,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000243,(재)행복의길장학재단
암환자 진료비지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766036587,마뗄암재단
미혼모부자가족 주거지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9766036592,건강가정지원센터
조혈모세포 이식 조정,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000237,한국조혈모세포은행협회
KBS강연100도씨 라이브 꿈 트럭 프로젝트,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765994532,kbs한국방송공사
마이크로크레딧 사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=10&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0045563885,열매나눔재단
사회복지시설 의무보험 (복지시설 손해배상책임공제),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000130,한국사회복지공제회
정부지원 단체상해공제,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000129,한국사회복지공제회
장기저축급여,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000128,한국사회복지공제회
대학장학생,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0000823336,우양재단
청소년 항공교실,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765630397,대한항공회
소아암 환자 경제적 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0000502188,재단법인 한국백혈병어린이재단
생활환경개선지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765837779,재단법인 한국백혈병어린이재단
미술영재 장학사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765847186,한국메세나협회
장애아동의료비지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000114,사회복지법인 밀알복지재단
화상장애인 의료비 지원 사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=13&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000105,사회복지법인 한림화상재단
사랑의 곳간(쌀 지원 프로젝트),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765912408,월드휴먼브리지
재활치료비 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765890762,한국백혈병소아암협회
"국내학사, 해외박사 장학사업",http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765900524,일주학술문화재단
사랑의 오뚝이 휠체어,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765877726,(주)만도
주거안정 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765880890,아동자립지원단
학생 행복나눔 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765870934,대한결핵협회
트라이앵글 프로젝트,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765880895,한국미혼모지원네트워크
청소년 정신건강지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765853439,세이브더칠드런
진료비 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765853444,(사)새생명찾아주기운동본부
HUG프로그램,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=12&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765853441,남북하나재단
자가시력검진,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0027662502,한국실명예방재단
"장애아동,발달장애인 지원",http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765605231,한국장애인개발원
눈건강교육,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0027448987,한국실명예방재단
저소득층 연탄지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0043000501,한국광해관리공단
아동 금융박사 경제교육,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0034205834,JA코리아
민들레카,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765742345,(사)그린라이트
소중한 나눔 무한행복,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0015887030,MBN매일방송국
방송모금성금지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0000562280,SBS
에버랜드 할로윈 축제 할인 초청,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0041108420,에버랜드
요보호가정 지원사업,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=15&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0000514457,J&M상지재단
장애인인권상담,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000100,장애우권익문제연구소
자립지원 서비스,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000099,상록여자자립생활관
아동청소년 자립지원시설,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=BOK00000098,미네르바의집
모자가정 지원사업 위시박스,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765801198,(재)아름다운 동행
소아암 환자 가발지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765800008,재단법인 한국백혈병어린이재단
한국생활 가이드북,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S9765801197,한국건강가정진흥원
출산용품 무료지원(모아사랑태교음악회),http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0000778762,월드휴먼브리지
사랑나눔 의료비 지원,http://bokjiro.go.kr//nwel/helpus/welsha/selectWelShaInfoBbrdMngView.do?searchCondition=&searchKeyword=&srchDuration=&stDate=&endDate=&pageUnit=10&endSvrEsc=0&intClIdStr=&pageIndex=14&orderCol=MODDATE&orderBy=DESC&recordCountPerPage=10&viewEndService=&shaInfSno=S0040170689,인구보건복지협회
