content,docs,etc,howto,name,purpose,service,target
"
								- 직접진료비 일부 지원
							","
								- 협력병원 지원신청서(마뗄암재단 추천 공문서 형식의 행정서류) 1매,- 병원진단서 1매,- 주치의 치료계획서 1매,- 환자생활실태조사서(재단 별지 양식),- 주민등록등본 1부,- 건강보험증 또는 의료급여증 사본 1부,- 수급자증명서(해당 거주지 행정기관 발행),- 기타(전세 또는 월세 계약서 사본, 과세증명서, 부채증명서 외)
							",,"
								- 협력병원 사회사업과를 통해 신청
							",,"
								- 환자들의 직접 진료비 중 일부를 지원함으로써 가능한 많은 암환자들에게 혜택이 가도록 함
							",암환자 진료비지원," 
								- 맞춤형 급여 대상자 중 암환자
							"
"
								- 주거 보증금 지원(월 임대료 및 관리비 등 공과금 제외),- 캠프, 소풍, 프로그램 등 가족관계향상 지원,- 입주민 월례회, 교육 프로그램 등 생활자립 지원
							","
								,
							",,"
								- 공고를 통해서 대상자 모집 후 서류 및 면접심사를 통하여 대상자 선정
							",,"
								- 자녀를 양육하고 있는, 경제적으로 어려운 미혼한부모 또는 한부모의 자립을 지원하기 위하여 한국건강가정진흥원은 여성가족부, 디아지오코리아 마음과 마음재단과 협력하여 주택을 지원
							",미혼모부자가족 주거지원사업," 
								- 자립의지가 확고하고, 초등학생 이하의 자녀를 둔 무주택 미혼한부모 또는 한부모,ㆍ미혼한부모는 법률상 혼인 기록이 없는 분으로, 사실혼 관계였다가 한부모 가족이 된 경우에도 미혼한부모 가족에 해당,ㆍ가족관계등부상 혼인기록이 있는 자가 이혼 후 사실혼 관계에서 출산한 자녀를 양육하는 경우에는 법률상 혼인 기록이 있음으로 미혼한부모로 보지 않음
							"
"
								- KBS-에 매주 강연자로 선발하여 실제 방송에서 10분 내외로 자신의 사연을 강연으로 소개,- 4주에 한번씩 시청자의 공감 및 응원지수가 가장 높았던 1명에게 창업 분야별 맞춤형 꿈 트럭(Dream Car)지원,ㆍ예)꽃배달 트럭, 푸드 트럭, 커피 트럭 등 협의 후 원하는 형식의 트럭으로 만들어 제공,※ 꿈 트럭에 선정되지 않더라도 소정의 지원금 제공
							","
								- 3분 이내의 자기소개 영상,ㆍ형식은 무방하나 지원 이유를 반드시 밝혀야 함,ㆍ핸드폰으로 찍어서 보내면 됨(영상의 형식과 완성도는 선정 이유와 무관),ㆍ지원 영상과 지원서는 반환 불가,- 지원서 1부(홈페이지 제공 양식에 맞춰 작성)
							",,"
								- E-mail로 영상 및 지원서 제출,ㆍ이메일 신청: speech100doc@gmail.com,ㆍ이메일 제목에 '본인 이름(나이)/계획한 창업분야' 기재 필수,ㆍ영상 및 지원서 중 하나라도 누락되면 지원불가
							",,"
								- 평범한 이웃의 인생 이야기와 삶을 통찰하는 지혜와 지식! 더 나은 세상을 위한 작은 실천과 기발한 생각은 더한 강연 100℃가 마음을 움직이는 생생한 순간을 선물합니다.
							",KBS강연100도씨 라이브 꿈 트럭 프로젝트," 
								- 인생의 위기를 맞았지만 강한 극복의지로 재기를 꿈꾸고 있는 사람,- 거듭된 사업실패를 겪고 재기하려 하지만 작은 밑천조차 없는 중년 가장,- 어려운 형편을 딛고 꿈을 이루고자 하는 청년 가장,- 가진 것 하나 없는 힘든 현실에서도 가족을 위해 다시 한번 일어서려는 강한 의지를 가진 분
							"
"
								□ 대 학 생 : 200만원/연,□ 고등학생 : 50만원/연
							","
								- 장학금 수혜자 조사표(양식 : 홈페이지 서식 다운로드),- 교통사고 사실확인원(경찰서 발행),- 장애인의 경우 장애인증 사본,- 사고자와의 관계 증명 서류(가족관계증명서 또는 제적등본),- 재학증명서,- 신청자 본인 통장 사본
							","
								,
							","
								장학금 접수 신청 기간(매년 9월 중)내에 구비서류를 준비하여 재단 사무국으로 우편 발송
							",,"
								고속도로 사고 유가족들에게 조금이나마 도움이 될 수 있도록 매년 장학생을 선발하여 장학금을 지급함
							",고속도로 사고 유자녀 장학금 지급," 
								□ 고속도로 교통 사고로 사망한 자의 자녀 및 중증장애인(장애등급 3급 이상) 판정을 받은 자 또는 그의 자녀,□ 고속도로 건설과 유지관리 업무 중 안전사고로 사망한 자의 자녀 및 중증장애인(장애등급 3급 이상) 판정을 받은 자 또는 그의 자녀,* 단, 상기 자격자 중 음주 및 불법으로 인한 교통사고의 원인제공자 및 그의 자녀는 제외
							"
"
								서비스 제공단가(정부지원금+본인부담금): 160,000원,본인부담금: 16,000원~64,000원,지원기간: 6개월,재판정: 1회
							","
								없음
							",,"
								전화 문의 ( 055-743-9455 )
							",,"
								○ 근로자 개인의 실질적인 스트레스 관리 및 문제해결,○ 이주에 따른 자녀 및 부부, 가족 간의 갈등요인 완화를 통한 삶의 질 향상
							",(진주) 근로자 통합지원서비스," 
								○ 소득: 소득기준 없음,○ 연령: 만60세 미만,○ 가구특성: 공기업 및 중소기업(100인 이하의 사업장) 근로자,○ 서비스 이용가능 지역: 진주 전지역
							"
"
								⊙ 서비스 가격 (정부지원금 + 본인부담금) : 월 160,000원,⊙ 본인부담금 : 월 8,000원~30,000원
							","
								없음
							",,"
								⊙동사무소 방문,신청이 어려우실 경우 저희 상담사가 직접 방문하여 상담을 해드립니다.,전화 문의 (051-515-3253)
							",,"
								바깥 출입이 불편하고 거동이 어려운 65세 이상 어르신을 대상으로 치매의 발병과 통증화를 사전에 예방 목적으로 인지 재활프로그램 및 레크레이션 교육을 실시합니다.,치매예방전문가를 통한 1:1 재가방문서비스,A_Alz 학습요법,B_차문화 치료,C_색종이 접기,D_치매예방체조,_기타 프로그램,1 외로움을 느끼지 않게 대화상대 되어드리기,2 두뇌회전을 필요로 하는 게임으로 치매예방하기,3 심리상삼으로 성격 분석
							",(부산 전지역) 찾아가는 맞춤형 치매예방교실 ( 뇌에 기가 팍팍)," 
								⊙ 소득 : 기준중위소득 140% 이하 또는 기초연금수급자,⊙ 연령 : 만 65세 이상 (1951년(포함) 이전 출생자),⊙ 가구특성 : 등급별 가구특성 상이 (하단 “서비스 가격 및 결제원칙” 참고),⊙ 우선순위 : 해당 없음,   ※ 중복이용 불가사업 : 노인돌봄종합서비스, 노인장기요양서비스,⊙ 서비스 지역 : 부산 전지역
							"
"
								- 추천기관(학교, 복지기관, 주민센터 및 시군구청)의 추천을 받아 한국사회복지협의회로 신청(1기관당 1명, 우편 및 온라인 신청(홈페이지 공고 참조)),- 선발기준: 지원대상자 추천서에 기재된 사회경제적 상황, 추천기관 의견 등을 참고하여 최종대상자는 MBC 무한도전 운영위원회 심사를 거쳐 선발(기존 무한도전 장학생 가산점 부여)
							",,,,," 
								- 저소득 소년소녀, 조손, 위탁, 한부모가정 초중고등학생,ㆍ저소득 기준: 중위소득 60% 미만
							",MBC 무한도전 장학금 지원사업,"
								- 초중생 100만원, 고등학생 200만원의 장학금 지원(추천기관 은행계좌로 입금)
							"
"
								- 인터넷(broso.or.kr) 참조
							",,,"
								,
							",," 
								- 장애아동, 발달장애인
							","장애아동,발달장애인 지원","
								- 연계(경제, 의료, 교육, 재활, 가족지원 등),- 장애아동발달장애인 복지지원 정보 제공 ,- 장애아동발달장애인 관련 통합정보제공사이트 운영(www.broso.or.kr) ,- 전문 e-레터(채널 비로소) 발행 및 배포 ,- 전문 상담실 운영,- 장애아동발달장애인 조사연구 및 개발 ,- 장애아동발달장애인 지원체계 강화를 위한 조사연구 수행 ,- 장애아동발달장애인 지원정책 및 프로그램 개발 ,- 장애아동발달장애인 가족 및 종사자 지침편람 개발,- 발달장애인 공공후견지원 사업 ,- 발달장애인 공공후견인 후보자 추천 ,- 발달장애인 후견 관련 법률 자문 ,- 발달장애인 공공후견지원사업 홍보 및 인식개선,- 장애아가족양육지원 사업 ,- 장애아가족양육지원사업 수행기관 운영지원 ,- 사업담당자 교육 및 매뉴얼 개발 보급 ,- 사업평가 및 관리,- 장애아동발달장애인 권리옹호 사업 ,- 발달장애인을 위한 알기 쉬운 정보제공(easy-read) ,- 발달장애인 당사자 자문위원 'I am'(아이엠) 운영 ,- 장애아동발달장애인에 대한 사회 인식개선 활동 ,- 권리침해 모니터링 및 권리구제 지원,- 협력 네트워크 구축 ,- 유관기관단체 MOU 추진 ,- 유관기관단체 간담회 실시 ,- 전문 자문위원회 운영
							"
"
								- 인터넷 다음카페 모아사랑 카페에서 각 지역별로 연중 접수 중
							",,,,," 
								- 출산용품 지원이 필요한 임산부
							",출산용품 무료지원(모아사랑태교음악회),"
								- 필수 출산용품 12종, 태교음악회 제공
							"
"
								- 전화 문의(02-2639-2861, 매년 6~7월 중)
							",,,,," 
								- 최저생계비 200%이하 전국 만 24세 이하 미혼모 가정의 만 12세 이하 중증질환자녀(미숙아, 소아암, 희귀난시청 질환 등), 월평균소득 중위소득 150%이하 고위험 임산부
							",사랑나눔 의료비 지원,"
								- 의료 및 재활치료비 최고 500만원 지원, 고위험임산부 최대 60만원
							"
"
								⊙ 서비스 가격 (정부지원금 + 본인부담금) : 월 140,000원,   - 정부지원금 : 월 120,000원 (회당 30,000원),   - 본인부담금 : 월 20,000원 (회당 5,000원)
							","
								없음
							",,"
								전화 문의 (051-515-3253)
							",,"
								21세기 정보화 시대의 자녀양육에 대한 맞춤형 코칭을 통해 현명한 부모역할 정립 및 비전있는 자기주도적 리더로 성장할 수 있는 발판 마련
							",(부산 전지역) 자녀의 성공을 돕는 부모코칭 ( 학부모코칭 )," 
								⊙ 소득 : 기준중위소득 140% 이하,⊙ 연령 : 제한 없음,⊙ 가구특성 : 가구특성 입증자료는 발급일로부터 6개월 이내 자료만 인정,   ① 미취학 및 초,중,고 자녀를 둔 부모,   ② 예비부모 (주민등록상 가족관계 확인가능자),   ③ 조손가정 (조부모) : 주민등록상 가족관계 확인가능자,⊙ 우선순위 : ,   - 자녀가 있는 자,   - 예비 부모,   - 손자녀 조부모,⊙ 서비스 이용가능 지역 : 부산 전지역 (기관 소재지: 금정구 구서동)
							"
"
								- 연중수시, 인터넷 신청(www.kclf.org),- 지원방법(각 지역별 지원접수처 홈페이지 참조,),ㆍ서울: 02-745-7674, 7671, 02-766-7671,ㆍ충청,호남: 061-375-7671,ㆍ부산, 경남: 051-244-7677,ㆍ경북, 강원: 053-253-7671
							",,,"
								,
							",," 
								- 치료로 모발이 빠진 학령기(7세) 이상 소아암 및 이에 준하는 희귀난치성질환 환자,- 치료 후유증으로 모발이 자라지 않는 만 30세 미만 치료종결자(19세 미만 소아암 및 희귀난치성질환 진단 받은 경우)
							",소아암 환자 가발지원,"
								- 가발 1개(제작비 80만원, 하이모)
							"
"
								- 연중(매월 말), 홈페이지 참고
							",,,"
								,
							",," 
								- 모자가정의 자녀로 초등학교 1학년 ~ 고등학교 3학년에 해당하는 아동청소년
							",모자가정 지원사업 위시박스,"
								- 착한소원(최대 50만원)에 한해 단순 지원을 지양하고 긍정적 변화가 기대되는 개인의 소원, 자기발전, 진로등을 위한 물품을 지원함
							"
"
								- 인터넷 연중 신청 www.liveinkorea.kr
							",,,"
								,
							",," 
								- 다문화가족,- 외국인
							",한국생활 가이드북,"
								- 대한민국소개, 다문화가족 지원서비스, 한국생활, 임신과 육아, 자녀교육, 건강과 의료, 사회보장제도, 취업과 근로 등 가이드북 13개 언어로 제공
							"
"
								자립을 필요로하는 아동ㆍ청소년을 중심으로 취사시설이 완비된 방과 궁극적인 자립을 위한 취업, 상담지원, 직업훈련 및 자립자본형성에 대한 자립관련 프로그램을 제공함
							","
								아동신상카드, 복지대상자 시설입소(이용)신청서, 건강진단서(입소결정이후제출)
							",,"
								입소가 필요한 대상자는 주소지 관할 구청에 신청
							",,"
								아동시설에서 퇴소한 자를 중심으로 대학, 취업준비 또는 취업 후 일정기간 보호하면서  상담, 자립교육 서비스를 통해 자립의 역량을 높이는 목적으로 함
							",아동청소년 자립지원시설," 
								- 아동시설퇴소자 중 취업중인 아동(우선), - 아동시설퇴소자 중 취업준비 중인 18세이상 24세이하인 아동, - 아동시설, 가정위탁 등 보호종결자로서 24세 이하인 기초생활보장 수급자
							"
"
								1. 자립지원 프로그램 (경제, 부동산, 요리, 미용, 성교육 등 재능을 가진 대상자의 재능 지원),2. 자원봉사자 연계를 통한 지원 (관내환경 정리 및 프로그램 동행 등) ,3. 개별 아동 후원 (학업 유지 및 생활안정 자금 후원) ,4. 의료 지원 후원 (치과 치료 및 건강 검진 등 후원),5. 운영 및 비품구입 후원 (운영비 )
							","
								없음
							",,"
								1. 이메일 신청 (sangrok1083@naver.com)
							",,"
								보육원 시설 퇴소 여자청소년들이 18세 ~ 24세까지 생활하는 생활시설로서 여성청소년들 (대학생 및 직장인)입소대상자들에게 자원봉사 멘토, 개별 및 기관 후원 연계, 자립지원 프로그램 교육을 지원 받아 스스로 자립하고자 하는 입소생들에게 질적인 서비스를 제공하는데 있다.
							",자립지원 서비스," 
								보육원을 퇴소하고 자립을 위해 생활하는 여성 청소년들 중 18세 ~ 24세(대학생 및 직장인) 대상
							"
"
								- 사회보장정보시스템 사례관리 → 사례관리 업무지원 → 함께도와요 사연신청 메뉴 이용
							",,,"
								,
							",," 
								- 열악한 주거환경으로 도움이 필요한 분
							",주거환경개선사업,"
								- 집짓기 및 집고치기
							"
"
								- 드림스타트 사례관리아동 선정, 공고 시
							",,,,," 
								- 드림스타트 아동
							",무료독감 예방접종,"
								- 무료독감 예방주사 제공
							"
,,,,," 
								- 저소득 위기가정
							",걱정해결사업(의료비지원),"
								- 메리츠화재 91가지 걱정해결사업 비급여 의료비지원,ㆍ공동모금회를 통해 메리츠화재와 업무협약을 진행한 지자체 예산 지원
							"
"
								- 각 지역센터 공고시
							",,,,," 
								- 드림스타트, 위스타트 아동
							",동병하치 프로그램,"
								- 겨울철 질병예방을 위한 삼복첩 첩부 및 약선(탕약), 생탁차 제공
							"
"
								- 인터넷 신청(사연접수)
							",,,"
								,
							",," 
								- 도움이 필요한 가정
							",소중한 나눔 이야기(방송국 ARS 후원금),"
								- KBS 1TV 동행 ARS 후원금
							"
"
								- 국번없이 1600-5500
							",,,"
								,
							",," 
								- 신용회복이 필요한 과중채무자
							",신용회복지원,"
								- 개인연체자의 경제회생 지원
							"
"
								- 각 지역 법률홈닥터를 통해 신청(www.moj.go.kr 법률홈닥터 검색)
							",,,"
								,
							",," 
								- 법률상담이 필요한 분
							",법률홈닥터,"
								- 무료법률상담 및 소송지원
							"
"
								- 전화문의
							",,,,," 
								- 저소득 빈곤가정 아동
							",정기후원금(결연사업),"
								- 경제적 어려움등으로 생활비, 관리비, 교육비가 부족한 가정에게 매월 정기적으로 5만~10만원씩 후원금 지급함(1:1결연)
							"
"
								- 이메일 접수 withchild@holt.or.kr,- 신청기간: 6월
							",,,,," 
								0세~만18세 이하의 아동청소년,(수급권자 및 차상위계층, 하부모가족, 일반저소득가정/중위소득 80%이하)
							",세상에서 제일 소중한 너라서,"
								대상자별 1인당 최대, 200만원 의료비 지원,(치료비, 수술비, 보장구 구입비, 약제비 등 치료에 필요한 제반비용)
							"
"
								- 다문화가족지원센터를 통해서 신청(,에서 영상 교재 다운로드)
							",,,"
								,
							",," 
								- 다문화가정 아동
							","언어 두 개, 기쁨 두 배 지원사업","
								- 다문화가정에서 엄마나라의 언어와 문화에 대한 관심을 높일 수 있도록, ""언어 두 개, 기쁨 두 배"" 사업을 통해 동화책과 동일한 컨텐츠로 제작된 전래동화 CD를 제공,ㆍ한국어, 베트남어, 몽골어, 중국어로 구성 / 각 언어권 별 24개 전래동화 수록
							"
"
								- 신청방법 : 이메일 접수 Project@busrugy.or.kr,- 신청기간 : 연중 상시공고로 홈페이지 확인
							",,,,," 
								빈곤환경에서도 미래를 구체적으로 게획하고 준비하고 있으며,,- 진로분야 재능과 열정이 확실한 아동 청소년,- 중학교 1학년~고등학교 2학년 재학생,- 아동복지시설 이용학생(그룹홈, 보육원, 복지관, 쉼터, 지역아동센터 등),- 중도포기 없이 8개월간 참여가능한 학생
							",내일을 찾는 학교,"
								프로그램 지원금(개인당 300만원),- 교육비 280만원, 멘토링 및 진로체험비 20만원
							"
"
								이메일 miral4664@hanmail.net
							",,,,," 
								안구질환으로 수술 및 치료가 필요하지만 치료가 어려운 24세 이하 아동청소년(시각장애인 부모, 조부모 해당)
							",밝은 세상을 보는 즐거움,"
								개안수술비, 주거비 및 생게비(대상자 경제적 상황에 따라 지원가능)
							"
"
								- 신청기간: 8월
							",,,,," 
								- 학자금 대출 부실채무자로 분할상환약정 상환 중인자,- 연체 30일 이하로, 분하상환약정 체결일로부터 1년 이상이며 총 약정금액의 80% 이상을 성실히 상환한자
							",청년 학자금대출 상환지원,"
								- 1인 1회 최대 100만원
							"
"
								- 홈페이지 확인 후 메일 제출 : cwf2007@hanmail.net
							",,,"
								,
							",," 
								- 북한이탈주민 중 현재 치료 중이거나, 치료 예정인 경우,- 질병의 제한은 없으나, 암, 희귀난치성 질병 등 우선 지원 대상 있음
							",북한이탈주민 의료비 지원,"
								- 재단 치료비 지원 100만원,- 선정 후, 재단 홈페이지 게시 및 외부 모금을 통한 모금액 전액 지급
							"
"
								- 열매나눔재단 홈페이지 공지사항 혹은 이메일(yiy@merryyear.org)
							",,,"
								,
							",," 
								- 전국 사회적경제 조직 및 청년창업가(만 39세 미만)
							",카 셰어링 이용권 지원,"
								- 매월 1인당 3종* 이용권 지급, * 경형(5시간 이용권), 준중형(3시간 이용권), SUV(2시간 이용권)
							"
"
								0~36개월 미만(임산부 포함) 자녀를 양육하는 미혼모에게 긴급생계비, 의료비, 출산비, 주거비(보증금, 체납월세, 청약저축액매칭)등을 신속하게 지원하여 위기상황을 벗어나 지역사회에 정착 할 수 있도록 지원함.
							","
								신청서, 가족관계증명서, 혼인관계증명서, 주민등록등본, 해당증명서 등
							","
								,
							","
								전화상담 및 홈페이지 상담
							",,"
								0~36개월 미만(임산부 포함)자녀를 양육하는 미혼모가 긴급하게 지원이 필요할 경우 신속하게 지원하여 위기상황에서 벗어나 지역사회에 정착 할 수 있도록 함을 목적으로 한다.
							",미혼모위기지원 트라이앵글 프로젝트," 
								0~36개월 미만(임산부 포함)자녀를 양육하는 미혼모
							"
"
								- 홈페이지(fowi.or.kr) 참조
							",,,"
								,
							",," 
								- 기초생활수급자, 장애(아동)수당 수급자
							",산림복지서비스 이용권,"
								- 1인당 10만원의 산림복지서비스 이용권(휴양림, 캠핑장 등 이용) 바우처 카드 제공
							"
"
								★ 방문서비스(월 27시간, 36시간),★ 단기가사서비스(월 24시간),- 사회서비스 이용 및 이용권 관리에 관한 법률에 따라 시·군·구에 등록한 제공기관에서 서비스 제공,- (방문서비스)식사·세면도움, 옷갈아 입히기, 신체기능의 유지？증진, 화장실 이용 도움, 외출동행, 생필품 구매, 청소·세탁 등 서비스 제공 ※목욕보조서비스는 보호자가 입회하는 경우에만 가능,- (단기가사서비스)식사도움, 옷 갈아 입히기, 외출동행 , 취사, 생활필수품 구매, 청소, 세탁 등,※의료인이 행하는 의료·조산·간호 등의 의료서비스 제공은 불가,- 서비스 대상자에게 카드식 바우처를 발급, 등록된 기관에서 서비스 이용,- 정부지원금 및 본인부담금：소득수준 (기초생활수급자, 차상위계층 초과 여부) 및 월 서비스 시간량(방문 서비스 27시간 또는 월 36시간, 주간보호서비스 월 9회 또는 월 12회, 단기가사서비스 월24시간) 또는 서비스 이용일수,- 정부지원금(월)：193,200원 ~ 344,520원,- 선납 본인부담금(월)：무료 ~ 64.000원
							","
								없음.
							",,"
								⊙동사무소 방문,신청이 어려우실 경우 저희 상담사가 직접 방문하여 상담을 해드립니다,전화 문의 (051-515-3253)
							",,"
								★ 혼자 힘으로 일상생활을 영위하기 어려운 노인에게 가사·활동지원 또는 주간보호 서비스를 제공하여 안정된 노후생활 보장 및 가족의 사회·경제적 활동기반 조성
							",(부산 전지역)노인돌봄종합서비스," 
								★ 만 65세 이상의 노인(단기가사의 경우 독거노인 또는 고령(만75세 이상 부부노인가구)중 가구소득, 건강상태 등을 고려하여 돌봄서비스가 필요한 대상자 선정,  ※연령기준：1951년 출생일 경과자(고령의 경우, 1941년 출생일 경과자)
							"
"
								- 신청방법: 우편 및 온라인 접수,- 신청기간: 10월~11월
							",,,,," 
								총 아동양육시설 및 공동생활가정 퇴소 또는 연장 대학생
							",대학생 교육비 지원사업,"
								- 연간 400만원 장학금 전액(학기당 200만원),- 장학생 특전(단기어학연수, 동아리활동 지원) 제공
							"
"
								- 유선상담 후 접수, 연중
							",,,,," 
								- 국내 외 소아암, 백혈병 환아(기초생활수급자 등 저소득가정)
							",수술비 및 병원치료비 지원사업,"
								- 수술비 및 병원치료비(최고 2천만원), 이식비(최고 2천만원), 긴급생계비(최고 100만원), 희귀의약품 및 병원보조기구 지원(산소호흡기 등)
							"
"
								- 우편접수(매년 11~12월 홈페이지 공고 참조, 서식-자료실)
							",,,,," 
								- 저소득 백혈병 소아암 환아
							",외래치료비 지원사업,"
								- 1년단 매달 25만원의 외래치료비 지원
							"
"
								- FAX, 이메일(홈페이지(rainbowyouth.or.kr) 참조), 연중 수시접수
							",,,"
								- 공통서류,· 심리상담 및 심리치료비 지원(개별상담, 가족상담) : 의뢰서(의뢰인 서명 필수), 개인정보 수집？이용 동의서(치료기관 소견서 및 심리검사결과지의 경우 해당자에 한해 제출),· 집단상담 지원 : 의뢰서(의뢰인 서명 필수), 프로그램 계획서
							",," 
								- 심리상담: 9 ~24세 서울, 인천, 안산, 부산, 광주 거주 이주배경청소년,- 심리치료비 지원: 9~19세 전국 이주배경청소년
							",다톡다톡 프로젝트 상담 및 심리치료비 지원,"
								- 심리상담, 심리치료비 지원(최대 110만원),- 가족상담 지원 : 1가족 기준 최대 90만원 지원, 심리치료지원대상자의 경우 가족상담 포함 최대 200만원 지원,- 집단상담 지원 : 신청기관 자체 계획 및 운영, 1집단 기준 최대 300만원 지원, 이주배경청소년의 비율이 전체의 20%이상이어야 함
							"
"
								- 연중,- 등기우편, 메일발송(홈페이지 참조),ㆍ의료기관 사회복지사, 원무과 등 통해 신청가능(개인신청 불가)
							",,,,," 
								- 국내 거주 내외국인 중 생물학적 제제를 처방받는 류마티스질환 환자 ,ㆍ1종 기초생활 수급자는 제외
							",저소득층 류마티스 질환 생물학적 제제 약제비 지원,"
								- 산정특례 비대상자: 1년간 600,000원 이내 ,- 비보험 환자: 1년간 2,000,000원 이내
							"
"
								- 매년상반기 접수 ,- 등기우편(홈페이지 참조)
							",,,,," 
								- 7세 이상~만 19세 미만의 소아암 및 이에 준하는 희귀난치성 질환 환자 및 치료종결자(기 지원자 및 타 기관에서 동일 명목의 지원(가정학습 지원)을 받은 경우 지원대상에서 제외됨)
							",학습지원,"
								- (주) 교원구몬 가정학습비 지원(방문학습지) 과목선택은 대상자 자율(2과목 선택: 국어, 수학, 독서, 영어, 한자, 일어, 중국어, 과학)
							"
"
								- 상반기 공고확인 ,- 이메일 또는 우편 접수(홈페이지 참고)
							",,,,," 
								- 시각장애(1~6급), 저시력(양안 교정시력 0.3미만)으로 1학기 등록예정인 국내 4년제 대학 재학생(방송통신대, 사이버대 제외) 학업성적 3.0이상(4.5만점, 직전학기 기준),ㆍ외부 장학금 이중수혜 불가(교내 및 국가장학금 일부 수혜시 차액 지급)
							",시각장애대학생 장학금 지원사업,"
								- 등록금 범위 내 300만원 차등지원(소속 대학으로 송금)
							"
"
								- 우편접수(홈페이지 참조),- 연중(공고시 접수)
							",,,,," 
								- 희귀·난치성질환 환우
							",의료비 지원사업,"
								- 외래 및 입원진료비, 가내케어 의료용품구입 및 대여비, 특수의료보장기구 구입비
							"
"
								- 연중상시 ,- 등기우편, 메일발송(홈페이지 참고),ㆍ의료기관 사회복지사, 원무과 등을 통해 신청가능, 개인신청 불가
							",,,,," 
								- 만성골수성 백혈병, 위장관 기질종양, 골수이형성증후군, 골수증식질환, 과호산구성 증후군, 만성호산구성 백혈병, 재발성 또는 전이성 융기형 피부섬유 육종으로 치료를 위해 약제를 처방받는 초진, 재래환자 ,ㆍ약제(동아ST 그리닙, 타 제약사 케어백, 메가백 처방받는 자)
							",저소득층 암환자 약제비 지원사업,"
								- 1인당 연간 50만원 한도
							"
"
								- 외래 / 검사 / 수술 등 얼굴기형 치료와 관련한 본인부담금 전액 ,- 심리 / 사회적 재활 프로그램
							","
								- 신청서 (첨부양식),- 개인정보제공동의서 (첨부양식),- 주민등록등본,- 거주지 확인 서류 : 자가의 경우 등기부등본, 임대의 경우 임대차계악서 사본,- 얼굴사진 : 정면 / 측면 / 환부 각 1장,※ 개인정보보호법에 의거, 주민등록번호 뒷자리는 * 처리해 주시길 바랍니다.
							","
								서류 접수 1주일 이내에 신청서 상에 기재된 연락처 또는 이메일로 이후 과정에 대한 안내를 드립니다.
							","
								- 우편 : 서울 강남구 일원로 81 삼성서울병원 사회사업팀 (본관 지하 2층),- 메일 : jiyoun.yoo@samsung.com
							",,"
								- 경제적인 어려움으로 얼굴기형 수술을 하기 어려운 환자들에게 성형수술을 지원한다.,- 심리적 지지를 통하여 치료의 동기를 강화하고 안정된 사회·심리적, 경제적 환경을 구성하도록 지원한다.,- 수술 및 심리적 지지를 통하여 원활한 사회적 복귀를 하도록 지원한다.
							",삼성 얼굴기형 수술 지원사업 [밝은얼굴 찾아주기]," 
								얼굴기형(두개/안면골기형, 안면 골절 후유증, 안면비대칭, 턱기형, 귀기형, 구순구개열후유증, 안면화상 후유증, 혈관종, 임파종 등)으로 기능적/사회적 어려움을 겪고 있는 저소득층 환자,* 저소득층 기준, - 만 18세 이하 : 기준중위소득 60% 이내, 최고재산액 대비 150% 이하 가정  , - 만 19세 이상 : 국민기초생활보장수급권자 및 차상위 대상자
							"
"
								- 홈페이지(1.or.kr)참조 후 이메일 접수(love1004@1.or.kr)
							",,,"
								,
							",," 
								- 실명예방 수술이 시급한 안과 질환자로 저소득가정 성인 및 어린이,ㆍ안과질환: 4대 실명질환 및 미숙아망막증, 사시, 안검하수 등,ㆍ저소득가정: 기초생활수급자 및 차상위계층, 한부모가정
							",실명질환 수술비 지원사업,"
								- 수술비 중 본인부담금(주사 및 레이저치료 포함), 사전검사비, 입원비 및 환자식비
							"
"
								- 홈페이지(www.imbc.com/broad/radio/fm/nowradio) 또는 우편(서울 중구 세종대로21길 39 사랑의열매회관 5층 mbc지금은라디오시대 지원사업 담당자 앞),- 매월 15일까지 도착분 중 사례 선정
							",,,"
								,
							",," 
								- 난치병, 희귀질환, 화상, 안면기형, 백혈병 등 의료비 지원이 필요한 분, 생계비 등 긴급한 도움이 필요한 분
							",지금은 라디오시대 후원금-사랑의 손길을 기다립니다,"
								- 방송을 통해 모여진 성금 전달(의료비, 생계비 등)
							"
"
								- 상반기, 하반기 각 1회 공고시 접수,- 우편 접수(홈페이지 참조)
							",,,,," 
								- 4년제 대학교 또는 2~3년제 전문대학 시각디자인 전공자로서 학과장 추천받은자(1개교 2명 이내, 단 2명 추첨 시 남/녀는 각 1명씩으로 함)
							",장학금 지원사업,"
								- 4년제 대학교(학기당 100만원), 2~3년제 전문대학(학기당 70만원),ㆍ타 장학금과 이중 수혜가능
							"
"
								- 전화상담 후 내방상담하여 신청(연중)
							",,,,," 
								- 아동 생후 24개월 미만의 양육미혼가정(단, 만 35세 이하 미혼모 우선지원)
							",싱글맘 가정지원,"
								- 자립지원(돌봄, 품앗이활동, 취업교육 등), 심리정서지원(가족관계 개선, 심리정서치료 등), 양육지원(분유, 기저귀 지원, 육아용품 지원 등), 학업지원(후원자멘토링, 장학금 지원 등)
							"
"
								- 신청방법 : 인터넷(www.holt.or.kr), 지역(서울, 대전, 대구, 울산, 청주, 전주, 부산),- 신청기간 : 연중
							",,,"
								,
							",," 
								- 출산 1년 이내의 미혼한부모 자녀
							",롯데리아와 함께하는 Mom 행복한 생일파티,"
								- 미혼한부모 자녀 대상 돌잔치(친인척 최대 25명 초대, 식사, 답례품, 사진촬영 및 앨범 제공)
							"
